MLService,Model,Version,GCC,LCC,Period,PayrollService,System,Client,ABKRS,PERNR,PersArea,EmpGroup,EmpSubgroup,ForPeriod,GenlTaxableAmount,BenEEContrib,401KWages,BaseForBSI,TGEESocSecTax,TaxBaseWage,TaxGrossWage,TBWithholdingTax,REWithholdingTax,EEGTLITaxable,TNTDWithholdingTax,AnnSal,BonusAccrual,ActBaseSal,9GLG,Year,TaxStatus,ExtraTaxAmt,NumExemptions,ExemptInd_R,FedTaxWithholding
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63024872,8364,1,M0,201915,4633.78,-494.19,4575.13,4575.13,4633.78,4575.13,4621.63,8313.02,8313.02,12.15,24.3,109803.0,915.03,4575.13,0.0,2019,2,10.0,3,0,370.61
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10005197,1020,1,M0,201915,4686.32,-592.71,4652.92,4677.92,4686.32,4677.92,4677.92,4116.16,4116.16,8.4,8.4,111670.0,930.58,4652.92,418.76,2019,1,0.0,0,0,707.15
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63024952,8365,1,M0,201915,3582.51,-565.36,3550.71,3575.71,3582.51,3575.71,3575.71,2767.97,2767.97,6.8,6.8,85217.0,568.11,3550.71,0.0,2019,1,0.0,0,0,401.56
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10306103,7919,1,N0,201915,5485.6,-1064.75,5337.46,5362.46,5485.6,5362.46,5462.6,18856.66,13787.06,23.0,46.0,128099.0,1601.24,5337.46,480.37,2019,2,0.0,7,0,277.3
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63045381,8368,1,M0,201915,4642.58,-178.87,4583.33,4583.33,4642.58,4583.33,4629.83,13359.63,13359.63,12.75,38.25,110000.0,916.67,4583.33,0.0,2019,1,450.0,0,0,1238.04
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041842,8371,1,M0,201915,3753.98,-291.64,3001.25,3001.25,3753.98,3001.25,3751.25,3471.19,3471.19,2.73,2.73,72030.0,600.25,3001.25,0.0,2019,2,0.0,0,0,416.38
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10034520,3068,1,N0,201915,8774.6,-255.15,8354.04,8354.04,8774.6,8354.04,8557.43,16427.99,16427.99,217.17,434.34,200497.0,3341.62,8354.04,334.16,2019,2,705.0,0,0,2070.67
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63042228,3151,1,M0,201915,3441.08,-555.5,3413.33,3438.33,3441.08,3438.33,3438.33,6789.66,6789.66,2.75,5.5,81920.0,546.13,3413.33,0.0,2019,1,0.0,2,0,462.47
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10160407,3151,1,N0,201915,5010.38,-850.83,4898.33,4898.33,5010.38,4898.33,4989.79,8963.68,8963.68,20.59,41.18,117560.0,1469.5,4898.33,440.85,2019,2,0.0,1,0,794.91
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63007959,865,X,U0,201915,53.57,0.0,0.0,0.0,0.0,0.0,53.57,53.57,53.57,0.0,0.0,0.0,0.0,0.0,0.0,2019,2,10.0,2,0,10.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63027522,8366,1,L0,201915,3165.95,-464.88,3112.32,3112.32,3165.95,3112.32,3158.82,5420.54,5420.54,7.13,14.26,74696.0,0.0,3112.32,0.0,2019,1,0.0,0,0,388.86
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63014163,2616,1,78,201915,4661.72,-740.52,5089.23,3443.06,5120.18,3443.06,4655.77,4270.9,4270.9,5.95,5.95,82033.36,0.0,3418.06,458.03,2019,2,0.0,4,0,353.34
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022476,8244,1,NS,201915,6327.53,-1205.62,6250.5,6275.5,6327.53,6275.5,6275.5,10139.76,10139.76,52.03,104.06,150012.0,3125.25,6250.5,562.55,2019,2,0.0,6,0,431.08
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402650,3068,1,N0,201915,7214.04,-877.91,7119.5,7119.5,7214.04,7119.5,7119.5,12697.48,12697.48,94.54,189.08,170868.0,2847.8,7119.5,640.76,2019,2,0.0,0,0,914.83
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63026124,8359,1,M0,201915,4060.36,-850.48,3902.96,3902.96,4060.36,3902.96,3975.9,5828.06,5828.06,84.46,168.92,93671.0,780.59,3902.96,0.0,2019,2,50.0,0,0,324.52
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022619,8603,1,M0,201915,4642.75,-912.4,4525.88,4550.88,4642.75,4550.88,4635.46,3473.06,3473.06,7.29,7.29,108621.0,905.18,4525.88,407.33,2019,2,0.0,4,0,257.6
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63045605,865,1,M0,201915,2868.22,-279.49,2833.33,2858.33,2868.22,2858.33,2858.33,2562.91,2562.91,9.89,9.89,68000.0,453.33,2833.33,0.0,2019,1,0.0,4,0,202.44
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004161,2440,1,78,201915,3201.02,-551.25,3168.35,3168.35,3201.02,3168.35,3168.35,5309.4,5309.4,32.67,65.34,76040.44,0.0,3168.35,324.75,2019,2,0.0,8,0,76.3
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10400090,8218,1,N0,201915,7373.49,-929.27,7277.79,7277.79,7373.49,7277.79,7277.79,12773.4,12773.4,95.7,191.4,174667.0,2911.12,7277.79,0.0,2019,2,0.0,5,0,759.28
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63029730,8456,1,M0,201915,4223.06,-1539.91,4150.21,4175.21,4223.06,4175.21,4175.21,5192.1,5192.1,47.85,95.7,99605.0,664.03,4150.21,0.0,2019,2,0.0,3,0,173.36
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63024964,8365,1,M0,201915,4112.02,-593.47,4073.79,4098.79,4112.02,4098.79,4098.79,3532.65,3532.65,13.23,13.23,97771.0,651.81,4073.79,0.0,2019,2,0.0,0,0,348.75
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10003352,1020,1,M0,201915,5059.25,-733.2,4801.5,4826.5,5059.25,4826.5,5001.5,4350.8,4350.8,57.75,57.75,115236.0,960.3,4801.5,492.16,2019,1,0.0,1,0,721.46
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63043496,8370,1,M0,201915,3698.05,-291.83,3647.92,3647.92,3698.05,3647.92,3694.42,11086.89,7392.47,3.63,3.63,87550.0,583.67,3647.92,0.0,2019,1,0.0,1,0,566.88
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401008,3068,1,M0,201915,4956.68,-183.6,4923.38,4948.38,4956.68,4948.38,4948.38,9734.76,9734.76,8.3,16.6,118161.0,984.68,4923.38,443.1,2019,1,0.0,2,0,784.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036796,2440,1,78,201915,2437.29,-240.62,2512.4,2388.39,2561.3,2388.39,2434.89,4636.56,4636.56,2.4,4.8,57321.39,0.0,2388.39,0.0,2019,1,0.0,1,0,264.13
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63045146,8081,1,M0,201915,3865.07,-594.18,3833.33,3858.33,3865.07,3858.33,3858.33,6285.44,6285.44,6.74,13.48,92000.0,766.67,3833.33,0.0,2019,2,303.0,4,0,520.96
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63016817,2444,1,M0,201915,4833.98,-212.01,4776.58,4776.58,4833.98,4776.58,4823.08,13825.33,9209.62,10.9,21.8,114638.0,955.32,4776.58,95.53,2019,6,0.0,4,0,656.43
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63037217,8341,1,MS,201915,5369.91,-943.51,5285.71,5310.71,5369.91,5310.71,5356.48,8245.56,8245.56,13.43,26.86,126857.0,1585.71,5285.71,0.0,2019,1,0.0,2,0,624.74
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63026482,8364,1,M0,201915,4481.51,-494.19,4449.55,4474.55,4481.51,4474.55,4474.55,7993.16,7993.16,6.96,13.92,106789.0,889.91,4449.55,0.0,2019,2,0.0,0,0,425.96
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63026102,8359,1,M0,201915,3378.11,-428.23,3279.96,3304.96,3378.11,3304.96,3366.26,5868.64,5868.64,11.85,23.7,78719.0,524.79,3279.96,0.0,2019,1,50.0,1,0,449.65
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402326,7919,1,M0,201915,3444.71,-354.52,3416.89,3441.89,3444.71,3441.89,3441.89,13272.04,9877.15,2.82,2.82,82005.31,546.7,3416.89,307.52,2019,1,0.0,2,0,394.83
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63042740,2440,T,V1,201915,8540.63,0.0,0.0,8051.05,8540.63,8051.05,2804.89,17081.26,17081.26,0.0,0.0,193225.09,0.0,0.0,0.0,2019,1,0.0,0,0,1903.86
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63035485,8581,X,U1,201915,5285.54,0.0,0.0,0.0,0.0,0.0,5285.54,5285.54,5285.54,0.0,0.0,0.0,0.0,0.0,0.0,2019,2,0.0,2,0,632.53
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004898,3272,1,M0,201915,4935.95,-555.72,4879.79,4879.79,4935.95,4879.79,4926.29,8863.02,8863.02,9.66,19.32,117115.0,975.96,4879.79,500.18,2019,1,0.0,1,0,727.49
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004916,3272,1,M0,201915,4952.0,-445.74,4913.5,4938.5,4952.0,4938.5,4938.5,9484.97,9484.97,13.5,27.0,117924.0,982.7,4913.5,159.7,2019,1,0.0,2,0,738.22
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041199,2440,1,78,201915,2518.29,-486.58,2608.44,2504.69,2647.04,2504.69,2504.69,4363.04,4363.04,13.6,27.2,59512.54,0.0,2479.69,0.0,2019,2,0.0,1,0,165.62
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036512,3428,1,78,201915,2059.15,-254.23,2006.95,2006.95,2059.15,2006.95,2053.45,1814.45,1814.45,5.7,5.7,48166.75,0.0,2006.95,0.0,2019,2,0.0,2,0,100.57
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004295,2440,1,78,201915,3064.59,-290.9,3037.39,3037.39,3064.59,3037.39,3037.39,5509.54,5509.54,27.2,54.4,72897.44,0.0,3037.39,212.62,2019,1,0.0,10,0,93.49
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402485,3068,1,M0,201915,3889.82,-502.56,3822.25,3847.25,3889.82,3847.25,3847.25,6899.38,6899.38,42.57,85.14,91734.0,611.56,3822.25,0.0,2019,2,0.0,0,0,323.2
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401764,3148,1,M0,201915,4027.9,-369.63,3946.79,3946.79,4027.9,3946.79,3993.29,10914.24,10914.24,34.61,103.83,94723.0,631.49,3946.79,355.21,2019,2,0.0,3,0,298.4
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041973,8364,1,M0,201915,3882.85,-529.36,3852.0,3877.0,3882.85,3877.0,3877.0,7395.92,7395.92,5.85,11.7,92448.0,616.32,3852.0,0.0,2019,1,0.0,1,0,567.66
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63046686,8364,1,M0,201915,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,10000.0,10000.0,0.0,0.0,120000.0,181.82,5000.0,0.0,2019,2,0.0,0,0,646.71
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022591,8243,1,M0,201915,4302.33,-586.17,4296.29,4296.29,4302.33,4296.29,4296.29,7420.24,7420.24,6.04,12.08,103111.0,859.26,4296.29,386.67,2019,1,0.0,0,0,609.7
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63025762,8466,1,N0,201915,7326.18,-1572.71,7230.81,7230.81,7326.18,7230.81,7230.81,11686.1,11686.1,95.37,190.74,173539.0,2169.24,7230.81,0.0,2019,2,0.0,4,0,678.18
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63043544,3068,1,M0,201915,3880.44,-318.25,3875.0,3875.0,3880.44,3875.0,3875.0,7160.5,7160.5,5.44,10.88,93000.0,620.0,3875.0,0.0,2019,1,0.0,1,0,536.59
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401841,3068,1,O0,201915,26384.52,-257.35,12305.08,12330.08,26384.52,12330.08,25769.83,52350.57,52350.57,62.61,125.22,295322.0,8613.56,12305.08,0.0,2019,2,0.0,7,0,6802.37
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402772,3068,1,N0,201915,5810.87,-920.21,5753.67,5753.67,5810.87,5753.67,5800.17,9692.07,9692.07,10.7,21.4,138088.0,1726.1,5753.67,517.83,2019,2,0.0,1,0,541.64
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036132,8361,1,M0,201915,3602.73,-370.83,3598.13,3598.13,3602.73,3598.13,3598.13,6454.6,6454.6,4.6,9.2,86355.0,575.7,3598.13,0.0,2019,1,0.0,1,0,464.11
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63035398,8367,1,M0,201915,5168.97,-698.79,5103.33,5128.33,5168.97,5128.33,5128.33,8863.38,8863.38,40.64,81.28,122480.0,1020.67,5103.33,0.0,2019,2,100.0,0,0,621.68
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63025974,8359,1,N0,201915,5967.38,-1460.94,5811.21,5811.21,5967.38,5811.21,5919.08,9097.98,9097.98,48.3,96.6,139469.0,1743.36,5811.21,0.0,2019,1,0.0,0,0,811.03
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10088408,3321,1,N0,201915,6731.55,-1040.07,6609.58,6634.58,6731.55,6634.58,6634.58,11639.24,11639.24,96.97,193.94,158630.0,1982.88,6609.58,594.86,2019,2,0.0,2,0,750.02
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63021336,7919,1,M0,201915,4376.41,-515.06,4343.71,4368.71,4376.41,4368.71,4368.71,16233.72,12076.01,7.7,15.4,104249.0,868.74,4343.71,304.06,2019,2,0.0,3,0,324.27
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63015774,2442,1,78,201915,2406.95,-307.63,2377.22,2402.22,2406.95,2402.22,2402.22,4133.04,4133.04,4.73,9.46,57053.27,0.0,2377.22,118.86,2019,2,0.0,1,0,151.82
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63042726,8365,1,L0,201915,2092.06,-278.59,2088.53,2088.53,2092.06,2088.53,2088.53,1818.22,1818.22,3.53,3.53,50125.0,0.0,2088.53,0.0,2019,1,0.0,0,0,192.61
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63007621,1020,1,M0,201915,4774.44,-804.5,4740.38,4765.38,4774.44,4765.38,4765.38,4120.28,4120.28,9.06,9.06,113769.0,948.08,4740.38,426.64,2019,2,0.0,4,0,335.27
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63043049,8341,V,M0,201915,4382.2,-525.0,4375.0,4375.0,4382.2,4375.0,2956.57,3850.0,3850.0,7.2,7.2,105000.0,875.0,0.0,0.0,2019,1,0.0,0,1,0.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63025604,8581,1,N0,201915,7998.97,-836.92,7949.07,7974.07,7998.97,7974.07,7974.07,14598.15,14598.15,24.9,49.8,190778.0,2384.73,7949.07,0.0,2019,2,0.0,4,0,954.93
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020701,2440,1,78,201915,2316.7,-188.62,2313.03,2313.03,2316.7,2313.03,2313.03,4254.76,4254.76,3.67,7.34,55512.76,0.0,2313.03,115.65,2019,1,0.0,1,0,222.13
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402544,8056,1,M0,201915,5302.27,-1134.83,5237.92,5237.92,5302.27,5237.92,5237.92,8206.18,8206.18,64.35,128.7,125710.0,1047.58,5237.92,471.41,2019,2,0.0,3,0,354.2
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63045404,2444,1,N0,201915,6328.75,-773.0,6250.0,6275.0,6328.75,6275.0,6275.0,17173.75,17173.75,53.75,107.5,150000.0,1875.0,6250.0,0.0,2019,1,0.0,0,0,1048.87
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63029054,8392,1,M0,201915,4288.5,-917.85,4256.75,4281.75,4288.5,4281.75,4281.75,6721.76,6721.76,6.75,13.5,102162.0,851.35,4256.75,0.0,2019,2,0.0,0,0,328.14
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63043302,8392,1,L0,201915,2829.88,-267.64,2827.42,2827.42,2829.88,2827.42,2827.42,5057.06,5057.06,2.46,4.92,67858.0,0.0,2827.42,0.0,2019,1,0.0,3,0,233.38
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63037500,8341,1,MS,201915,5831.42,-1230.0,5782.5,5807.5,5831.42,5807.5,5807.5,8925.0,8925.0,23.92,47.84,138780.0,1734.75,5782.5,0.0,2019,2,0.0,2,0,451.46
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63039719,US12,1,M0,201915,5043.38,-669.43,5004.58,5029.58,5043.38,5029.58,5029.58,4353.36,4353.36,13.8,13.8,120110.0,1000.92,5004.58,0.0,2019,6,0.0,1,0,722.08
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402020,3068,1,O0,201915,10574.73,-339.8,10023.38,10023.38,10574.73,10023.38,10023.38,20641.17,20641.17,20.1,40.2,240561.0,7016.36,10023.38,0.0,2019,1,0.0,1,0,2380.02
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004800,3272,1,M0,201915,4849.13,-776.12,4732.96,4732.96,4849.13,4732.96,4821.85,8400.77,8400.77,27.28,54.56,113591.0,946.59,4732.96,485.13,2019,1,0.0,2,0,596.68
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63029004,8392,1,M0,201915,5865.85,-1289.23,5767.92,5792.92,5865.85,5792.92,5792.92,9007.38,9007.38,72.93,145.86,138430.0,1153.58,5767.92,0.0,2019,2,300.0,0,0,837.52
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10003227,1020,1,M0,201915,5130.55,-1290.96,5090.13,5090.13,5130.55,5090.13,5090.13,4023.17,4023.17,40.42,40.42,122163.0,1018.03,5090.13,521.74,2019,1,0.0,0,0,684.83
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63035466,8581,X,U1,201915,72.93,0.0,0.0,0.0,0.0,0.0,72.93,145.86,145.86,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,0.0,0,1,0.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,278,2442,1,M0,201915,5980.39,-1418.64,5956.08,5956.08,5980.39,5956.08,5956.08,9182.04,9182.04,24.31,48.62,142946.0,1191.22,5956.08,610.5,2019,2,0.0,3,0,441.23
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63028838,8372,1,M0,201915,3320.72,-1208.53,3256.58,3256.58,3320.72,3256.58,3256.58,4093.76,4093.76,64.14,128.28,78158.0,521.05,3256.58,0.0,2019,1,40.0,0,0,282.92
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,366,2440,1,N0,201915,6476.12,-888.44,6304.88,6329.88,6476.12,6329.88,6447.94,10866.64,10866.64,28.18,56.36,151317.0,1891.46,6304.88,567.44,2019,2,0.0,4,0,588.04
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63028948,8392,1,M0,201915,4251.97,-381.21,4221.33,4246.33,4251.97,4246.33,4246.33,11538.51,11538.51,5.64,11.28,101312.0,844.27,4221.33,0.0,2019,1,0.0,2,0,561.35
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10003329,1020,1,N0,201915,5976.33,-920.09,5729.21,5754.21,5976.33,5754.21,5929.21,5097.29,5097.29,47.12,47.12,137501.0,1718.76,5729.21,587.25,2019,2,0.0,3,0,552.61
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63027828,8368,1,M0,201915,4118.41,-775.33,4082.83,4107.83,4118.41,4107.83,4107.83,10251.39,6949.69,10.58,10.58,97988.0,653.25,4082.83,0.0,2019,1,75.0,0,0,591.65
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63024630,8330,1,L0,201915,250.0,0.0,0.0,0.0,250.0,0.0,250.0,500.0,500.0,0.0,0.0,99815.0,0.0,0.0,0.0,2019,2,0.0,0,0,0.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63019271,3148,1,N0,201915,7016.1,-762.67,6926.67,6926.67,7016.1,6926.67,6926.67,18492.0,18492.0,89.43,268.29,166240.0,2770.67,6926.67,623.4,2019,1,0.0,0,0,1198.63
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63006149,2440,1,M0,201915,5232.93,-782.73,5222.34,5222.34,5232.93,5222.34,5222.34,8714.42,8714.42,10.59,21.18,125336.0,1044.47,5222.34,470.01,2019,2,0.0,5,0,342.7
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401326,3147,1,N0,201915,7029.93,-806.72,6991.13,7016.13,7029.93,7016.13,7016.13,12287.86,12287.86,13.8,27.6,167787.0,2796.45,6991.13,629.2,2019,2,0.0,7,0,628.87
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63046864,2921,1,N0,201915,4431.82,0.0,4431.82,4431.82,4431.82,4431.82,4431.82,8863.64,8863.64,0.0,0.0,130000.0,1329.55,4431.82,0.0,2019,2,0.0,5,0,351.65
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63039673,8368,1,M0,201915,3458.18,-507.3,3376.04,3376.04,3458.18,3376.04,3422.54,8951.64,8951.64,35.64,106.92,81025.0,540.17,3376.04,0.0,2019,2,0.0,1,0,261.9
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63035503,8581,X,U1,201915,19483.84,0.0,0.0,0.0,0.0,97419.2,19483.84,19483.84,19483.84,0.0,0.0,0.0,0.0,0.0,0.0,2019,2,0.0,0,1,0.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402646,3068,1,M0,201915,3137.36,-332.01,3134.17,3134.17,3137.36,3134.17,3134.17,5887.83,5887.83,3.19,6.38,75220.0,501.47,3134.17,62.68,2019,1,0.0,0,0,412.2
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401560,8056,1,M0,201915,4200.16,-635.24,4168.63,4193.63,4200.16,4193.63,4193.63,7116.78,7116.78,6.53,13.06,100047.0,833.73,4168.63,375.18,2019,1,0.0,1,0,536.95
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041277,2440,1,78,201915,2691.41,-102.0,2650.5,2675.5,2691.41,2675.5,2675.5,5147.0,5147.0,15.91,31.82,63611.97,0.0,2650.5,0.0,2019,1,0.0,0,0,358.77
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63045788,8365,1,L0,201915,2026.38,-314.0,2000.0,2025.0,2026.38,2025.0,2025.0,1710.58,1710.58,1.38,1.38,48000.0,0.0,2000.0,0.0,2019,2,0.0,2,0,88.1
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401413,7919,1,M0,201915,4258.57,-661.66,4226.17,4251.17,4258.57,4251.17,4251.17,16133.02,11951.85,7.4,7.4,101428.0,845.23,4226.17,380.36,2019,1,0.0,1,0,543.8
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63037066,3068,1,MS,201915,5127.94,-454.64,5095.5,5120.5,6272.36,5120.5,5120.5,17477.84,11667.56,7.44,14.88,122292.0,1528.65,5095.5,0.0,2019,1,0.0,3,0,964.85
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004913,2440,1,N0,201915,6694.75,-1085.09,6476.96,6476.96,6694.75,6476.96,6597.54,11688.68,11688.68,97.21,194.42,155447.0,1943.09,6476.96,663.89,2019,2,0.0,4,0,655.25
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020236,3068,1,N0,201915,6629.82,-916.29,6531.17,6531.17,6629.82,6531.17,6531.17,11514.92,11514.92,98.65,197.3,156748.0,1959.35,6531.17,587.81,2019,2,0.0,0,0,786.82
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022571,8583,1,M0,201915,5391.61,-390.42,5273.58,5298.58,5391.61,5298.58,5377.81,9984.14,9984.14,13.8,27.6,126566.0,1054.72,5273.58,210.94,2019,2,0.0,5,0,452.46
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,358,2444,1,N0,201915,8483.32,-1096.53,8350.42,8459.77,8483.32,8459.77,8459.77,21660.21,14424.44,23.55,47.1,202434.0,3373.9,8434.77,855.92,2019,2,0.0,5,0,940.9
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63029108,8612,1,N0,201915,8144.69,-1064.04,8082.08,8107.08,8144.69,8107.08,8107.08,15664.76,15664.76,37.61,75.22,193970.0,3232.83,8082.08,0.0,2019,2,0.0,9,0,923.33
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63004170,3270,1,78,201915,2669.5,-353.14,2641.62,2456.23,2669.5,2456.23,2666.62,4626.96,4626.96,2.88,5.76,58349.57,0.0,2431.23,237.75,2019,1,0.0,1,0,263.07
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10306098,8056,1,N0,201915,6144.3,-771.91,6108.54,6133.54,6144.3,6133.54,6133.54,10745.54,10745.54,10.76,21.52,146605.0,1832.56,6108.54,549.77,2019,2,0.0,2,0,651.72
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63026548,8361,1,N0,201915,6882.11,-1106.2,6844.96,6869.96,6882.11,6869.96,6869.96,11120.82,11120.82,12.15,24.3,164279.0,2737.98,6844.96,0.0,2019,2,0.0,0,0,770.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401485,242,1,M0,201915,4631.02,-681.68,4624.38,4624.38,4631.02,4624.38,4624.38,7885.4,7885.4,6.64,13.28,110985.0,924.88,4624.38,416.19,2019,1,0.0,1,0,623.52
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10003244,1020,1,78,201915,4025.6,-1049.69,3996.14,3996.14,4025.6,3996.14,3996.14,2914.07,2914.07,29.46,29.46,95907.29,0.0,3996.14,409.6,2019,2,0.0,3,0,211.52
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401040,3068,1,N0,201915,8140.33,-947.09,7912.13,7937.13,8140.33,7937.13,7937.13,14194.24,14194.24,203.2,406.4,189891.0,3164.85,7912.13,712.09,2019,2,0.0,5,0,887.43
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63044561,2440,1,78,201915,2339.05,-208.75,2312.5,2337.5,2339.05,2337.5,2337.5,4257.5,4257.5,1.55,3.1,55500.07,0.0,2312.5,0.0,2019,1,0.0,1,0,222.43
